 PS_POSID PARVW PARNR
0 ZDMX4985-01 Y3 12345432
1 ZDMX4985-01 Z3 12110445
2 ZDMX4985-01 Z4 12110445
3 ZDMX4985-01 Z6 12110445
4 ZDMX4985-01 Z1 12110445
5 ZDMX4985-01 Z2 12110445
6 ZDMX4985-01 Z8 12345432
7 ZDMX4985-01 Z9 12345432
8 ZDMX4985-01-01 Y3 12345432
9 ZDMX4985-01-01 Z3 12110445
10 ZDMX4985-01-01 Z4 12110445
11 ZDMX4985-01-01 Z6 12110445
12 ZDMX4985-01-01 Z1 12110445
13 ZDMX4985-01-01 Z2 12110445
14 ZDMX4985-01-01 Z8 12345432
15 ZDMX4985-01-01 Z9 12345432
16 ZDMX4985-01-01-01 Y3 12345432
17 ZDMX4985-01-01-01 Z3 12110445
18 ZDMX4985-01-01-01 Z4 12110445
19 ZDMX4985-01-01-01 Z6 12110445
20 ZDMX4985-01-01-01 Z1 12110445
21 ZDMX4985-01-01-01 Z2 12110445
22 ZDMX4985-01-01-01 Z8 12345432
23 ZDMX4985-01-01-01 Z9 12345432
24 ZDMX4985-01-01-01-1000 Y3 12345432
25 ZDMX4985-01-01-01-1000 Z3 12110445
26 ZDMX4985-01-01-01-1000 Z4 12110445
27 ZDMX4985-01-01-01-1000 Z6 12110445
28 ZDMX4985-01-01-01-1000 Z1 12110445
29 ZDMX4985-01-01-01-1000 Z2 12110445
30 ZDMX4985-01-01-01-1000 Z8 12345432
31 ZDMX4985-01-01-01-1000 Z9 12345432
32 ZDMX4985-01-01-01-NB10 Y3 12345432
33 ZDMX4985-01-01-01-NB10 Z3 12110445
34 ZDMX4985-01-01-01-NB10 Z4 12110445
35 ZDMX4985-01-01-01-NB10 Z6 12110445
36 ZDMX4985-01-01-01-NB10 Z1 12110445
37 ZDMX4985-01-01-01-NB10 Z2 12110445
38 ZDMX4985-01-01-01-NB10 Z8 12345432
39 ZDMX4985-01-01-01-NB10 Z9 12345432
40 JFRX3426-01 Y3 12345432
41 JFRX3426-01 Z3 12000008
42 JFRX3426-01 Z4 12000008
43 JFRX3426-01 Z6 12000008
44 JFRX3426-01 Z1 12000008
45 JFRX3426-01 Z2 12000008
46 JFRX3426-01 Z8 12345432
47 JFRX3426-01 Z9 12345432
48 JFRX3426-01-01 Y3 12345432
49 JFRX3426-01-01 Z3 12000008
50 JFRX3426-01-01 Z4 12000008
51 JFRX3426-01-01 Z6 12000008
52 JFRX3426-01-01 Z1 12000008
53 JFRX3426-01-01 Z2 12000008
54 JFRX3426-01-01 Z8 12345432
55 JFRX3426-01-01 Z9 12345432
56 JFRX3426-01-01-01 Y3 12345432
57 JFRX3426-01-01-01 Z3 12000008
58 JFRX3426-01-01-01 Z4 12000008
59 JFRX3426-01-01-01 Z6 12000008
60 JFRX3426-01-01-01 Z1 12000008
61 JFRX3426-01-01-01 Z2 12000008
62 JFRX3426-01-01-01 Z8 12345432
63 JFRX3426-01-01-01 Z9 12345432
64 JFRX3426-01-01-01-1000 Y3 12345432
65 JFRX3426-01-01-01-1000 Z3 12000008
66 JFRX3426-01-01-01-1000 Z4 12000008
67 JFRX3426-01-01-01-1000 Z6 12000008
68 JFRX3426-01-01-01-1000 Z1 12000008
69 JFRX3426-01-01-01-1000 Z2 12000008
70 JFRX3426-01-01-01-1000 Z8 12345432
71 JFRX3426-01-01-01-1000 Z9 12345432
72 JFRX3426-01-01-01-NB10 Y3 12345432
73 JFRX3426-01-01-01-NB10 Z3 12000008
74 JFRX3426-01-01-01-NB10 Z4 12000008
75 JFRX3426-01-01-01-NB10 Z6 12000008
76 JFRX3426-01-01-01-NB10 Z1 12000008
77 JFRX3426-01-01-01-NB10 Z2 12000008
78 JFRX3426-01-01-01-NB10 Z8 12345432
79 JFRX3426-01-01-01-NB10 Z9 12345432
80 OLYX5176-01 Y3 12345432
81 OLYX5176-01 Z3 12000008
82 OLYX5176-01 Z4 12000008
83 OLYX5176-01 Z6 12000008
84 OLYX5176-01 Z1 12000008
85 OLYX5176-01 Z2 12000008
86 OLYX5176-01 Z8 12345432
87 OLYX5176-01 Z9 12345432
88 OLYX5176-01-01 Y3 12345432
89 OLYX5176-01-01 Z3 12000008
90 OLYX5176-01-01 Z4 12000008
91 OLYX5176-01-01 Z6 12000008
92 OLYX5176-01-01 Z1 12000008
93 OLYX5176-01-01 Z2 12000008
94 OLYX5176-01-01 Z8 12345432
95 OLYX5176-01-01 Z9 12345432
96 OLYX5176-01-01-01 Y3 12345432
97 OLYX5176-01-01-01 Z3 12000008
98 OLYX5176-01-01-01 Z4 12000008
99 OLYX5176-01-01-01 Z6 12000008
100 OLYX5176-01-01-01 Z1 12000008
101 OLYX5176-01-01-01 Z2 12000008
102 OLYX5176-01-01-01 Z8 12345432
103 OLYX5176-01-01-01 Z9 12345432
104 OLYX5176-01-01-01-1000 Y3 12345432
105 OLYX5176-01-01-01-1000 Z3 12000008
106 OLYX5176-01-01-01-1000 Z4 12000008
107 OLYX5176-01-01-01-1000 Z6 12000008
108 OLYX5176-01-01-01-1000 Z1 12000008
109 OLYX5176-01-01-01-1000 Z2 12000008
110 OLYX5176-01-01-01-1000 Z8 12345432
111 OLYX5176-01-01-01-1000 Z9 12345432
112 OLYX5176-01-01-01-NB10 Y3 12345432
113 OLYX5176-01-01-01-NB10 Z3 12000008
114 OLYX5176-01-01-01-NB10 Z4 12000008
115 OLYX5176-01-01-01-NB10 Z6 12000008
116 OLYX5176-01-01-01-NB10 Z1 12000008
117 OLYX5176-01-01-01-NB10 Z2 12000008
118 OLYX5176-01-01-01-NB10 Z8 12345432
119 OLYX5176-01-01-01-NB10 Z9 12345432
120 BMCX9530-01 Y3 12345432
121 BMCX9530-01 Z3 12110445
122 BMCX9530-01 Z4 12110445
123 BMCX9530-01 Z6 12110445
124 BMCX9530-01 Z1 12110445
125 BMCX9530-01 Z2 12110445
126 BMCX9530-01 Z8 12345432
127 BMCX9530-01 Z9 12345432
128 BMCX9530-01-01 Y3 12345432
129 BMCX9530-01-01 Z3 12110445
130 BMCX9530-01-01 Z4 12110445
131 BMCX9530-01-01 Z6 12110445
132 BMCX9530-01-01 Z1 12110445
133 BMCX9530-01-01 Z2 12110445
134 BMCX9530-01-01 Z8 12345432
135 BMCX9530-01-01 Z9 12345432
136 BMCX9530-01-01-01 Y3 12345432
137 BMCX9530-01-01-01 Z3 12110445
138 BMCX9530-01-01-01 Z4 12110445
139 BMCX9530-01-01-01 Z6 12110445
140 BMCX9530-01-01-01 Z1 12110445
141 BMCX9530-01-01-01 Z2 12110445
142 BMCX9530-01-01-01 Z8 12345432
143 BMCX9530-01-01-01 Z9 12345432
144 BMCX9530-01-01-01-1000 Y3 12345432
145 BMCX9530-01-01-01-1000 Z3 12110445
146 BMCX9530-01-01-01-1000 Z4 12110445
147 BMCX9530-01-01-01-1000 Z6 12110445
148 BMCX9530-01-01-01-1000 Z1 12110445
149 BMCX9530-01-01-01-1000 Z2 12110445
150 BMCX9530-01-01-01-1000 Z8 12345432
151 BMCX9530-01-01-01-1000 Z9 12345432
152 BMCX9530-01-01-01-NB10 Y3 12345432
153 BMCX9530-01-01-01-NB10 Z3 12110445
154 BMCX9530-01-01-01-NB10 Z4 12110445
155 BMCX9530-01-01-01-NB10 Z6 12110445
156 BMCX9530-01-01-01-NB10 Z1 12110445
157 BMCX9530-01-01-01-NB10 Z2 12110445
158 BMCX9530-01-01-01-NB10 Z8 12345432
159 BMCX9530-01-01-01-NB10 Z9 12345432
160 COAX4628-01 Y3 12345432
161 COAX4628-01 Z3 12000008
162 COAX4628-01 Z4 12000008
163 COAX4628-01 Z6 12000008
164 COAX4628-01 Z1 12000008
165 COAX4628-01 Z2 12000008
166 COAX4628-01 Z8 12345432
167 COAX4628-01 Z9 12345432
168 COAX4628-01-01 Y3 12345432
169 COAX4628-01-01 Z3 12000008
170 COAX4628-01-01 Z4 12000008
171 COAX4628-01-01 Z6 12000008
172 COAX4628-01-01 Z1 12000008
173 COAX4628-01-01 Z2 12000008
174 COAX4628-01-01 Z8 12345432
175 COAX4628-01-01 Z9 12345432
176 COAX4628-01-01-01 Y3 12345432
177 COAX4628-01-01-01 Z3 12000008
178 COAX4628-01-01-01 Z4 12000008
179 COAX4628-01-01-01 Z6 12000008
180 COAX4628-01-01-01 Z1 12000008
181 COAX4628-01-01-01 Z2 12000008
182 COAX4628-01-01-01 Z8 12345432
183 COAX4628-01-01-01 Z9 12345432
184 COAX4628-01-01-01-1000 Y3 12345432
185 COAX4628-01-01-01-1000 Z3 12000008
186 COAX4628-01-01-01-1000 Z4 12000008
187 COAX4628-01-01-01-1000 Z6 12000008
188 COAX4628-01-01-01-1000 Z1 12000008
189 COAX4628-01-01-01-1000 Z2 12000008
190 COAX4628-01-01-01-1000 Z8 12345432
191 COAX4628-01-01-01-1000 Z9 12345432
192 COAX4628-01-01-01-NB10 Y3 12345432
193 COAX4628-01-01-01-NB10 Z3 12000008
194 COAX4628-01-01-01-NB10 Z4 12000008
195 COAX4628-01-01-01-NB10 Z6 12000008
196 COAX4628-01-01-01-NB10 Z1 12000008
197 COAX4628-01-01-01-NB10 Z2 12000008
198 COAX4628-01-01-01-NB10 Z8 12345432
199 COAX4628-01-01-01-NB10 Z9 12345432
200 QFHX4856-01 Y3 12345432
201 QFHX4856-01 Z3 12000008
202 QFHX4856-01 Z4 12000008
203 QFHX4856-01 Z6 12000008
204 QFHX4856-01 Z1 12000008
205 QFHX4856-01 Z2 12000008
206 QFHX4856-01 Z8 12345432
207 QFHX4856-01 Z9 12345432
208 QFHX4856-01-01 Y3 12345432
209 QFHX4856-01-01 Z3 12000008
210 QFHX4856-01-01 Z4 12000008
211 QFHX4856-01-01 Z6 12000008
212 QFHX4856-01-01 Z1 12000008
213 QFHX4856-01-01 Z2 12000008
214 QFHX4856-01-01 Z8 12345432
215 QFHX4856-01-01 Z9 12345432
216 QFHX4856-01-01-01 Y3 12345432
217 QFHX4856-01-01-01 Z3 12000008
218 QFHX4856-01-01-01 Z4 12000008
219 QFHX4856-01-01-01 Z6 12000008
220 QFHX4856-01-01-01 Z1 12000008
221 QFHX4856-01-01-01 Z2 12000008
222 QFHX4856-01-01-01 Z8 12345432
223 QFHX4856-01-01-01 Z9 12345432
224 QFHX4856-01-01-01-1000 Y3 12345432
225 QFHX4856-01-01-01-1000 Z3 12000008
226 QFHX4856-01-01-01-1000 Z4 12000008
227 QFHX4856-01-01-01-1000 Z6 12000008
228 QFHX4856-01-01-01-1000 Z1 12000008
229 QFHX4856-01-01-01-1000 Z2 12000008
230 QFHX4856-01-01-01-1000 Z8 12345432
231 QFHX4856-01-01-01-1000 Z9 12345432
232 QFHX4856-01-01-01-NB10 Y3 12345432
233 QFHX4856-01-01-01-NB10 Z3 12000008
234 QFHX4856-01-01-01-NB10 Z4 12000008
235 QFHX4856-01-01-01-NB10 Z6 12000008
236 QFHX4856-01-01-01-NB10 Z1 12000008
237 QFHX4856-01-01-01-NB10 Z2 12000008
238 QFHX4856-01-01-01-NB10 Z8 12345432
239 QFHX4856-01-01-01-NB10 Z9 12345432
240 QSKX0569-01 Y3 12345432
241 QSKX0569-01 Z3 12000008
242 QSKX0569-01 Z4 12000008
243 QSKX0569-01 Z6 12000008
244 QSKX0569-01 Z1 12000008
245 QSKX0569-01 Z2 12000008
246 QSKX0569-01 Z8 12345432
247 QSKX0569-01 Z9 12345432
248 QSKX0569-01-01 Y3 12345432
249 QSKX0569-01-01 Z3 12000008
250 QSKX0569-01-01 Z4 12000008
251 QSKX0569-01-01 Z6 12000008
252 QSKX0569-01-01 Z1 12000008
253 QSKX0569-01-01 Z2 12000008
254 QSKX0569-01-01 Z8 12345432
255 QSKX0569-01-01 Z9 12345432
256 QSKX0569-01-01-01 Y3 12345432
257 QSKX0569-01-01-01 Z3 12000008
258 QSKX0569-01-01-01 Z4 12000008
259 QSKX0569-01-01-01 Z6 12000008
260 QSKX0569-01-01-01 Z1 12000008
261 QSKX0569-01-01-01 Z2 12000008
262 QSKX0569-01-01-01 Z8 12345432
263 QSKX0569-01-01-01 Z9 12345432
264 QSKX0569-01-01-01-1000 Y3 12345432
265 QSKX0569-01-01-01-1000 Z3 12000008
266 QSKX0569-01-01-01-1000 Z4 12000008
267 QSKX0569-01-01-01-1000 Z6 12000008
268 QSKX0569-01-01-01-1000 Z1 12000008
269 QSKX0569-01-01-01-1000 Z2 12000008
270 QSKX0569-01-01-01-1000 Z8 12345432
271 QSKX0569-01-01-01-1000 Z9 12345432
272 QSKX0569-01-01-01-NB10 Y3 12345432
273 QSKX0569-01-01-01-NB10 Z3 12000008
274 QSKX0569-01-01-01-NB10 Z4 12000008
275 QSKX0569-01-01-01-NB10 Z6 12000008
276 QSKX0569-01-01-01-NB10 Z1 12000008
277 QSKX0569-01-01-01-NB10 Z2 12000008
278 QSKX0569-01-01-01-NB10 Z8 12345432
279 QSKX0569-01-01-01-NB10 Z9 12345432
280 GOMX8126-01 Y3 12345432
281 GOMX8126-01 Z3 12000008
282 GOMX8126-01 Z4 12000008
283 GOMX8126-01 Z6 12000008
284 GOMX8126-01 Z1 12000008
285 GOMX8126-01 Z2 12000008
286 GOMX8126-01 Z8 12345432
287 GOMX8126-01 Z9 12345432
288 GOMX8126-01-01 Y3 12345432
289 GOMX8126-01-01 Z3 12000008
290 GOMX8126-01-01 Z4 12000008
291 GOMX8126-01-01 Z6 12000008
292 GOMX8126-01-01 Z1 12000008
293 GOMX8126-01-01 Z2 12000008
294 GOMX8126-01-01 Z8 12345432
295 GOMX8126-01-01 Z9 12345432
296 GOMX8126-01-01-01 Y3 12345432
297 GOMX8126-01-01-01 Z3 12000008
298 GOMX8126-01-01-01 Z4 12000008
299 GOMX8126-01-01-01 Z6 12000008
300 GOMX8126-01-01-01 Z1 12000008
301 GOMX8126-01-01-01 Z2 12000008
302 GOMX8126-01-01-01 Z8 12345432
303 GOMX8126-01-01-01 Z9 12345432
304 GOMX8126-01-01-01-1000 Y3 12345432
305 GOMX8126-01-01-01-1000 Z3 12000008
306 GOMX8126-01-01-01-1000 Z4 12000008
307 GOMX8126-01-01-01-1000 Z6 12000008
308 GOMX8126-01-01-01-1000 Z1 12000008
309 GOMX8126-01-01-01-1000 Z2 12000008
310 GOMX8126-01-01-01-1000 Z8 12345432
311 GOMX8126-01-01-01-1000 Z9 12345432
312 GOMX8126-01-01-01-NB10 Y3 12345432
313 GOMX8126-01-01-01-NB10 Z3 12000008
314 GOMX8126-01-01-01-NB10 Z4 12000008
315 GOMX8126-01-01-01-NB10 Z6 12000008
316 GOMX8126-01-01-01-NB10 Z1 12000008
317 GOMX8126-01-01-01-NB10 Z2 12000008
318 GOMX8126-01-01-01-NB10 Z8 12345432
319 GOMX8126-01-01-01-NB10 Z9 12345432
320 OEBX5732-01 Y3 12345432
321 OEBX5732-01 Z3 12000008
322 OEBX5732-01 Z4 12000008
323 OEBX5732-01 Z6 12000008
324 OEBX5732-01 Z1 12000008
325 OEBX5732-01 Z2 12000008
